總計,汽車,大客車,大貨車,小客車,小貨車,特種車,機車
109年 3月底,"427,658","158,988","1,074","2,153","142,750","11,650","1,361","268,670"
109年 4月底,"427,988","159,112","1,072","2,149","142,863","11,665","1,363","268,876"
109年 5月底,"428,516","159,305","1,070","2,134","143,036","11,700","1,365","269,211"
109年 6月底,"429,160","159,592","1,059","2,141","143,315","11,711","1,366","269,568"
109年 7月底,"429,878","159,816","1,061","2,153","143,509","11,721","1,372","270,062"
109年 8月底,"430,901","160,088","1,063","2,154","143,770","11,730","1,371","270,813"
109年 9月底,"432,348","160,417","1,038","2,161","144,128","11,719","1,371","271,931"
109年 10月底,"433,025","160,580","1,037","2,166","144,279","11,718","1,380","272,445"
109年 11月底,"433,602","160,890","1,046","2,163","144,568","11,719","1,394","272,712"
109年 12月底,"433,284","160,749","1,034","2,183","144,436","11,708","1,388","272,535"
110年底,"444,187","164,436","1,012","2,224","147,854","11,867","1,479","279,751"
110年 1月底,"434,544","161,280","1,032","2,193","144,898","11,752","1,405","273,264"
110年 2月底,"435,144","161,569","1,038","2,188","145,170","11,754","1,419","273,575"
110年 3月底,"436,036","161,881","1,029","2,191","145,469","11,774","1,418","274,155"
110年 4月底,"437,026","162,271","1,028","2,198","145,846","11,779","1,420","274,755"
110年 5月底,"437,935","162,547","1,016","2,198","146,134","11,766","1,433","275,388"
110年 6月底,"438,605","162,681","1,016","2,211","146,254","11,756","1,444","275,924"
110年 7月底,"439,366","163,087","1,013","2,215","146,612","11,790","1,457","276,279"
110年 8月底,"440,357","163,284","1,013","2,206","146,819","11,787","1,459","277,073"
110年 9月底,"441,881","163,698","1,017","2,222","147,171","11,835","1,453","278,183"
110年 10月底,"442,695","163,935","1,011","2,220","147,406","11,841","1,457","278,760"
110年 11月底,"443,715","164,222","1,012","2,221","147,642","11,874","1,473","279,493"
110年 12月底,"444,187","164,436","1,012","2,224","147,854","11,867","1,479","279,751"
111年底,"451,484","167,458",979,"2,253","150,645","12,110","1,471","284,026"
111年 1月底,"444,831","164,793","1,003","2,225","148,194","11,888","1,483","280,038"
111年 2月底,"445,204","164,904","1,002","2,217","148,317","11,886","1,482","280,300"
111年 3月底,"445,861","165,217",999,"2,237","148,580","11,912","1,489","280,644"
111年 4月底,"446,404","165,244","1,016","2,227","148,611","11,922","1,468","281,160"
111年 5月底,"446,811","165,500","1,000","2,236","148,845","11,952","1,467","281,311"
111年 6月底,"447,347","165,678","1,001","2,239","148,990","11,975","1,473","281,669"
111年 7月底,"447,885","165,908","1,003","2,225","149,194","12,015","1,471","281,977"
111年 8月底,"448,485","166,170","1,002","2,234","149,452","12,028","1,454","282,315"
111年 9月底,"449,441","166,521",996,"2,245","149,780","12,045","1,455","282,920"
111年 10月底,"450,053","166,775",983,"2,240","150,010","12,079","1,463","283,278"
111年 11月底,"450,786","167,174",989,"2,235","150,366","12,111","1,473","283,612"
111年 12月底,"451,484","167,458",979,"2,253","150,645","12,110","1,471","284,026"
112年底,"459,570","170,533",944,"2,317","153,719","12,032","1,521","289,037"
112年 1月底,"451,928","167,697",982,"2,240","150,888","12,114","1,473","284,231"
112年 2月底,"452,351","167,860",972,"2,253","151,032","12,124","1,479","284,491"
112年 3月底,"452,972","168,085",965,"2,267","151,261","12,116","1,476","284,887"
112年 4月底,"453,444","168,354",962,"2,269","151,514","12,126","1,483","285,090"
112年 5月底,"454,267","168,700",953,"2,290","151,863","12,102","1,492","285,567"
112年 6月底,"455,044","168,980",946,"2,285","152,168","12,080","1,501","286,064"
112年 7月底,"455,914","169,371",942,"2,273","152,580","12,073","1,503","286,543"
112年 8月底,"456,487","169,391",933,"2,273","152,608","12,069","1,508","287,096"
112年 9月底,"457,751","169,762",937,"2,299","152,949","12,074","1,503","287,989"
112年 10月底,"458,476","170,046",937,"2,283","153,258","12,063","1,505","288,430"
112年 11月底,"459,050","170,329",941,"2,294","153,524","12,062","1,508","288,721"
112年 12月底,"459,570","170,533",944,"2,317","153,719","12,032","1,521","289,037"
113年底 (6月底),"462,416","171,797",846,"2,363","155,028","12,019","1,541","290,619"
113年 1月底,"460,054","170,807",877,"2,317","154,023","12,051","1,539","289,247"
113年 2月底,"460,406","170,832",877,"2,326","154,080","12,009","1,540","289,574"
113年 3月底,"460,917","171,032",864,"2,349","154,279","11,997","1,543","289,885"
113年 4月底,"461,194","171,068",861,"2,366","154,315","11,974","1,552","290,126"
113年 5月底,"461,619","171,364",852,"2,371","154,578","12,017","1,546","290,255"
113年 6月底,"462,416","171,797",846,"2,363","155,028","12,019","1,541","290,619"
